REEF_ID,SITE_NO,Algae,Hard Coral
20014S,1,43.8,40.6
20014S,2,47.5,41.5
20014S,3,47.3,23.7
20014S,1,39.6,40.5
20014S,2,51.1,37.68
20014S,3,36.8,35.8
20019S,1,25.14,19.32
20019S,2,28.53,16.06
20019S,3,21.43,14.21
20019S,1,33.11,19.57
20019S,2,31.44,16.11
20019S,3,23.27,16.57
20019S,1,44.87,19.79
20019S,2,38.89,20.04
20019S,3,26.11,14.87
20019S,1,31.71,22.92
20019S,2,36.29,16.85
20019S,3,27.68,15.44
20019S,1,16.2,20.1
20019S,2,20.72,16.51
20019S,3,17.1,13.4
20019S,1,30.62,20.32
20019S,2,31.7,18.5
20019S,3,22.15,14.58
20019S,1,29.3,20.3
20019S,2,29.34,17.2
20019S,3,21.8,16.1
20019S,1,30.95,17.77
20019S,2,34.04,16.8
20019S,3,24.99,15.72
20019S,1,35.8,20.2
20019S,2,38.29,17.67
20019S,3,26.18,23.44
20019S,1,48,21.1
20019S,2,45.76,24.65
20019S,3,31.87,21.74
20019S,1,54.2,19.8
20019S,2,51.8,20.6
20019S,3,31.21,24.68
20019S,1,42.93,21.22
20019S,2,41,24.6
20019S,3,30.44,23.57
20019S,1,25.87,18.55
20019S,2,35.5,25.2
20019S,3,22.43,21.62
20019S,1,34.1,26.8
20019S,2,31.92,28.13
20019S,3,23.55,27.52
20019S,1,27.97,25.25
20019S,2,28.53,22.32
20019S,3,24.43,23.72
20019S,1,34.8,28.3
20019S,2,30.3,27.9
20019S,3,27.83,31.64
20019S,1,36.7,29.1
20019S,2,30.56,26.27
20019S,3,28.6,19.9
20019S,1,44.7,27.2
20019S,2,36.2,31.6
20019S,3,44.8,17.1
20019S,1,47.3,20.6
20019S,2,33.4,30.5
20019S,3,45.5,17.3
20067A,1,16.07,36.06
20067A,2,31.25,15.57
20067A,3,22.34,23.52
20067A,1,22.69,33.71
20067A,2,31.51,17.51
20067A,3,21.61,26.75
20067A,1,22.6,36.8
20067A,2,34.33,19.09
20067A,3,23.44,25.75
20067A,1,14.02,34.79
20067A,2,28.9,16.1
20067A,3,22.96,28.65
20067A,1,24.6,37
20067A,2,37.41,19.15
20067A,3,26.1,28.6
20067A,1,18.21,38.26
20067A,2,30.26,20.64
20067A,3,23.97,29.5
20067A,1,19.17,37.7
20067A,2,31.2,18.75
20067A,3,21.14,26.51
20067A,1,28.46,30.37
20067A,2,36.16,19.54
20067A,3,28.87,23.16
20067A,1,28.72,38.45
20067A,2,43.85,21.52
20067A,3,34,30.7
20067A,1,34.73,37.12
20067A,2,43.56,22.4
20067A,3,38.38,25.03
20067A,1,23.05,38.4
20067A,2,37.77,25.16
20067A,3,31.36,23.74
20067A,1,20.8,35.7
20067A,2,33.4,22.41
20067A,3,25.75,24.13
20067A,1,20.72,34.75
20067A,2,33.72,21.69
20067A,3,22.66,20.41
20067A,1,21,36.4
20067A,2,29.36,22.72
20067A,3,23.7,22.3
20067A,1,16.8,41.7
20067A,2,23.3,29.5
20067A,3,24.28,22.18
20067A,1,23.2,38.3
20067A,2,25.8,27.4
20067A,3,29.5,26.8
20067A,1,36.7,34.3
20067A,2,27.5,33.9
20067A,3,36,29.5
20067A,1,25.5,41.2
20067A,2,26.5,34.4
20067A,3,34.1,30.1
19131S,1,39,55.25
19131S,2,33.22,56.78
19131S,3,33.74,58.42
19131S,1,36.79,54.5
19131S,2,33.07,55.5
19131S,3,34.57,59.27
19131S,1,34.09,54.57
19131S,2,33.41,57.62
19131S,3,23.98,67.79
19131S,1,55.54,35.88
19131S,2,53.24,39.68
19131S,3,58.21,34.19
19131S,1,54.17,35.06
19131S,2,55.7,35.58
19131S,3,58.36,33.51
19131S,1,50.73,35.69
19131S,2,53.97,35.23
19131S,3,55.6,34.04
19131S,1,55.28,36.71
19131S,2,55.98,35.38
19131S,3,60.9,32.24
19131S,1,48.98,41.54
19131S,2,57.4,37.59
19131S,3,54.2,39.66
19131S,1,47.86,43.93
19131S,2,54.91,38.97
19131S,3,52.11,41.95
19131S,1,53.72,37.24
19131S,2,65.57,29.33
19131S,3,62.67,32.08
19131S,1,58.15,31.91
19131S,2,63.59,29.25
19131S,3,62.65,32.83
19131S,1,51.11,42.68
19131S,2,52.81,36.96
19131S,3,56.03,39.44
19131S,1,49.38,39.38
19131S,2,52,36.4
19131S,3,46.84,47.04
19131S,1,48.1,43.2
19131S,2,47.2,43.2
19131S,3,49.2,44.5
19131S,1,50.6,40.7
19131S,2,48.3,42
19131S,3,44.2,41.7
19131S,1,42.2,49.1
19131S,2,43.2,45.7
19131S,3,46.74,45.15
19131S,1,46.7,44
19131S,2,41.2,47.5
19131S,3,47.1,45.4
19131S,1,37.9,52.5
19131S,2,36.84,55.55
19131S,3,37.4,55.4
19138S,1,50.71,28.28
19138S,2,60.82,11.36
19138S,3,64.66,8.1
19138S,1,53.07,40.81
19138S,2,66.77,22.22
19138S,3,74.08,15.65
19138S,1,52.64,44.72
19138S,2,65.75,30.23
19138S,3,70.62,23.34
19138S,1,45.52,50.46
19138S,2,52.52,37.34
19138S,3,54.15,36.64
19138S,1,77.45,16.58
19138S,2,74.98,17.42
19138S,3,79.07,15.1
19138S,1,76.27,18.19
19138S,2,72.73,18.02
19138S,3,73.1,14.3
19138S,1,74.05,20.24
19138S,2,73.71,19.66
19138S,3,72.93,18.62
19138S,1,72.36,22.2
19138S,2,77.1,20.2
19138S,3,69.44,19.34
19138S,1,73.11,24.14
19138S,2,72.58,22.73
19138S,3,71.02,21.86
19138S,1,74,23.4
19138S,2,68.31,27.34
19138S,3,67.5,23
19138S,1,75.88,21.76
19138S,2,73.7,25.1
19138S,3,71.67,22.93
19138S,1,69.07,28.43
19138S,2,60.52,36.75
19138S,3,59.62,35.28
19138S,1,61.1,34.15
19138S,2,51.04,42.54
19138S,3,50.15,41.24
19138S,1,48.16,48.2
19138S,2,48.85,46.74
19138S,3,46.65,46.65
19138S,1,60.85,33.44
19138S,2,56.56,37.34
19138S,3,56.3,36.8
19138S,1,60.8,30.7
19138S,2,56.5,27.2
19138S,3,49.5,27
19138S,1,61,35.5
19138S,2,54.6,36.1
19138S,3,56.6,33.4
19138S,1,53.2,41.4
19138S,2,49.9,42.2
19138S,3,48.7,42.8
19138S,1,47.55,49.55
19138S,2,46.1,49.6
19138S,3,39.3,51.3
20104S,1,69.32,8.05
20104S,2,74.31,13.77
20104S,3,77.98,11.92
20104S,1,76.76,14.4
20104S,2,73.65,14.25
20104S,3,81.5,12.4
20104S,1,69.54,20.28
20104S,2,75.82,15.05
20104S,3,76.99,14.04
20104S,1,58.39,26
20104S,2,61.08,24.21
20104S,3,64.9,23.01
20104S,1,61.24,28.64
20104S,2,81.3,11.5
20104S,3,78.88,14.76
20104S,1,52.64,30.65
20104S,2,71.65,17.91
20104S,3,74.08,17.44
20104S,1,55.85,33.81
20104S,2,72.16,19.85
20104S,3,74.53,18.87
20104S,1,56.44,31.44
20104S,2,78.16,17.04
20104S,3,69.56,23.16
20104S,1,51.49,39.77
20104S,2,65.16,28.81
20104S,3,64.63,29.22
20104S,1,49.94,41.46
20104S,2,56.72,35.81
20104S,3,58.89,33.23
20104S,1,54.73,38.62
20104S,2,66.3,28.6
20104S,3,58.34,37.37
20104S,1,48.59,43.86
20104S,2,57.67,38.47
20104S,3,56.18,40.28
20104S,1,46.98,45.72
20104S,2,48.36,46.44
20104S,3,41.37,52.78
20104S,1,47.39,45.59
20104S,2,45.3,49.2
20104S,3,45.7,50.8
20104S,1,54.7,38.4
20104S,2,65.47,29.63
20104S,3,70.4,25.6
20104S,1,49.3,38.7
20104S,2,64.5,26.8
20104S,3,71.4,22.7
20104S,1,45.1,43.9
20104S,2,54.2,38
20104S,3,61.3,32.5
20104S,1,37.14,51.75
20104S,2,45.13,48
20104S,3,44,48
20104S,1,36.33,47.74
20104S,2,36.64,59.66
20104S,3,31.63,63.07
19159S,1,22.4,50.07
19159S,2,29.67,38.98
19159S,3,24.92,25.31
19159S,1,22.16,49.49
19159S,2,34.38,39.16
19159S,3,29.41,25.68
19159S,1,19.77,53.77
19159S,2,32.16,38.19
19159S,3,24.06,27.25
19159S,1,23.03,52.74
19159S,2,36.9,42.26
19159S,3,25.33,30.39
19159S,1,22.59,58.42
19159S,2,31.76,42.69
19159S,3,23.71,33.01
19159S,1,20.3,57.51
19159S,2,32.44,42.97
19159S,3,20.91,35.63
19159S,1,25.29,53.1
19159S,2,42.31,35.57
19159S,3,21.94,32.23
19159S,1,25.55,54.45
19159S,2,44.1,37.5
19159S,3,23.25,31.38
19159S,1,25.22,56.42
19159S,2,36.18,41.57
19159S,3,21.03,32.86
19159S,1,23.53,57.23
19159S,2,33.64,46.79
19159S,3,26.9,29
19159S,1,23.59,54.31
19159S,2,38.66,43.42
19159S,3,23.61,33.98
19159S,1,22.15,56.36
19159S,2,38.11,41.18
19159S,3,26.85,33.21
19159S,1,47.2,43.2
19159S,2,46.35,37.65
19159S,3,27.12,33.24
19159S,1,75.8,16.3
19159S,2,68,20.9
19159S,3,59.84,24.08
19159S,1,82.4,7.4
19159S,2,76.1,18.6
19159S,3,79.6,9.1
19159S,1,81.8,11.3
19159S,2,75.5,17.4
19159S,3,86.5,8.6
19159S,1,69.1,24.3
19159S,2,70.3,19.8
19159S,3,81.7,12.1
19159S,1,44.9,46.5
19159S,2,61.9,28.1
19159S,3,64.8,25.6
19207S,1,18.22,32.04
19207S,2,17.65,14.33
19207S,3,19.71,12.82
19207S,1,22.15,23.79
19207S,2,19.41,14.67
19207S,3,26.12,10.75
19207S,1,24.48,28.47
19207S,2,24.55,13.46
19207S,3,24.11,10.86
19207S,1,21.8,26.3
19207S,2,22.17,15.15
19207S,3,24.6,13.2
19207S,1,25.66,26.16
19207S,2,21.9,17.5
19207S,3,25.4,12.4
19207S,1,20.4,29.4
19207S,2,19.9,15.8
19207S,3,22.82,12.01
19207S,1,18.59,24.5
19207S,2,15.9,17.1
19207S,3,15.6,12.5
19207S,1,23.49,26.54
19207S,2,21.81,16.43
19207S,3,18.72,13.79
19207S,1,21.57,27.45
19207S,2,24.48,13.59
19207S,3,18.48,12.03
19207S,1,20.5,26.4
19207S,2,22.53,17.61
19207S,3,19.01,12.51
19207S,1,26.7,25.9
19207S,2,21,14.2
19207S,3,20.9,12
19207S,1,23.02,24.52
19207S,2,17.98,12.82
19207S,3,19.46,10.74
19207S,1,29.9,22.1
19207S,2,17,13.3
19207S,3,19.7,10.3
19207S,1,33.57,27.55
19207S,2,27.6,14.5
19207S,3,29.23,10.11
19207S,1,76.8,10.5
19207S,2,63.9,12.2
19207S,3,58,7.7
19207S,1,85.4,7.2
19207S,2,85.1,6.9
19207S,3,89,3.7
19207S,1,87.8,5.5
19207S,2,90.5,3.2
19207S,3,91.8,2.7
19207S,1,77.3,10.8
19207S,2,86,4.3
19207S,3,88.3,6.6
19207S,1,55.21,24.96
19207S,2,75.27,9.91
19207S,3,83.4,8.8
19209S,1,40.32,24.33
19209S,2,35.89,14.72
19209S,3,43.62,14.55
19209S,1,41.56,22.29
19209S,2,32.7,11.59
19209S,3,37.25,15.3
19209S,1,36.94,27.5
19209S,2,24.7,16.5
19209S,3,35.39,16.43
19209S,1,38.26,24.39
19209S,2,27.3,15.4
19209S,3,34.4,13.7
19209S,1,30.96,27.66
19209S,2,25.79,12.52
19209S,3,26.94,18.19
19209S,1,24.26,27
19209S,2,17.9,16
19209S,3,23.96,15.16
19209S,1,25.65,28.29
19209S,2,15.97,15.79
19209S,3,24.66,18.71
19209S,1,23.76,27.36
19209S,2,19.2,12.42
19209S,3,21.71,16.65
19209S,1,24.24,25.81
19209S,2,17.88,14.63
19209S,3,24.6,20.1
19209S,1,23.2,25.6
19209S,2,19.3,13.6
19209S,3,27.51,16.8
19209S,1,20.1,27.17
19209S,2,16.6,11.79
19209S,3,22.83,18.32
19209S,1,22.02,26.64
19209S,2,13.61,15.72
19209S,3,22.7,14.8
19209S,1,28.9,25.2
19209S,2,30.4,14
19209S,3,36.3,15.2
19209S,1,69.7,13.4
19209S,2,84.4,4.7
19209S,3,67,9.6
19209S,1,94.38,4.41
19209S,2,94.5,1.6
19209S,3,87.9,3.6
19209S,1,93.4,3.4
19209S,2,94.4,1.7
19209S,3,93.9,2.4
19209S,1,86.9,10.9
19209S,2,93.9,2
19209S,3,89.1,4.6
19209S,1,70.5,25.1
19209S,2,86.7,6.5
19209S,3,85.89,9.01
